asda

(h, sum) 	 ('23A9T', 634)
(h, sum) 	 ('Q9QQ8', 104984870)
(h, sum) 	 ('QTQJA', 105391246)
(h, sum) 	 ('QTKTT', 105633390)
(h, sum) 	 ('QQ2Q4', 106039740)
(h, sum) 	 ('QQ4TQ', 106344006)
(h, sum) 	 ('QQ5QA', 106593101)
(h, sum) 	 ('QQQ7A', 107214533)
(h, sum) 	 ('QQQ97', 107858341)
(h, sum) 	 ('QQQA4', 108089741)
(h, sum) 	 ('QK5KK', 108417845)
(h, sum) 	 ('QKQTQ', 109056153)
(h, sum) 	 ('QA6AA', 109357186)
(h, sum) 	 ('QAQ3Q', 109884964)
(h, sum) 	 ('KJ63K', 110392589)
(h, sum) 	 ('K2226', 110850477)
(h, sum) 	 ('K2TJK', 111140214)
(h, sum) 	 ('K2AKK', 111431708)
(h, sum) 	 ('K58J8', 112070938)
(h, sum) 	 ('K6676', 112362658)
(h, sum) 	 ('K68KK', 112395047)
(h, sum) 	 ('K8222', 112459923)
(h, sum) 	 ('K8KQK', 112575285)
(h, sum) 	 ('K9888', 112930525)
(h, sum) 	 ('KTK2K', 112946485)
(h, sum) 	 ('KK8TJ', 113168929)
(h, sum) 	 ('KK8K3', 113315669)
(h, sum) 	 ('A252J', 113709121)
(h, sum) 	 ('A3335', 113832217)
(h, sum) 	 ('A3AA9', 114256327)
(h, sum) 	 ('A3AAT', 114635442)
(h, sum) 	 ('A5552', 114939186)
(h, sum) 	 ('A6888', 115320777)
(h, sum) 	 ('A7J99', 115721133)
(h, sum) 	 ('A7JTA', 116092383)
(h, sum) 	 ('A7797', 116149167)
(h, sum) 	 ('A9JAQ', 116152552)
(h, sum) 	 ('A9K99', 116461042)
(h, sum) 	 ('AT999', 116958070)
(h, sum) 	 ('AQ44J', 117527910)
(h, sum) 	 ('AQTQQ', 118123104)
(h, sum) 	 ('AK4AA', 118704168)
(h, sum) 	 ('AA23A', 118941169)
(h, sum) 	 ('AA25A', 119599861)
(h, sum) 	 ('AA5A7', 119905371)
(h, sum) 	 ('AA6J3', 120369107)
(h, sum) 	 ('AA9A6', 121014887)
(h, sum) 	 ('AAQ2A', 121296967)
(h, sum) 	 ('AAA3K', 121720702)
(h, sum) 	 ('AAA85', 121789012)
(h, sum) 	 ('J2662', 121823562)
(h, sum) 	 ('J8484', 121838094)
(h, sum) 	 ('J8585', 121997484)
(h, sum) 	 ('J9933', 122135590)
(h, sum) 	 ('JT2T2', 122646415)
(h, sum) 	 ('22525', 122853127)
(h, sum) 	 ('23223', 123157019)
(h, sum) 	 ('26226', 123759393)
(h, sum) 	 ('27727', 123804828)
(h, sum) 	 ('2T22T', 124420828)
(h, sum) 	 ('2KKK2', 124590470)
(h, sum) 	 ('2A22A', 124855124)
(h, sum) 	 ('3J388', 124970416)
(h, sum) 	 ('3J773', 125456880)
(h, sum) 	 ('33322', 125818545)
(h, sum) 	 ('333QQ', 126011283)
(h, sum) 	 ('34334', 126187326)
(h, sum) 	 ('39393', 126836562)
(h, sum) 	 ('3TT33', 127466154)
(h, sum) 	 ('3K3K3', 127897124)
(h, sum) 	 ('42442', 128467346)
(h, sum) 	 ('43344', 128998498)
(h, sum) 	 ('4466J', 129660875)
(h, sum) 	 ('44QJQ', 129845801)
(h, sum) 	 ('44QQ4', 130224036)
(h, sum) 	 ('44K4K', 130882756)
(h, sum) 	 ('49494', 131008948)
(h, sum) 	 ('4Q4QQ', 131267428)
(h, sum) 	 ('4KJ4K', 131669349)
(h, sum) 	 ('4A44A', 131873829)
(h, sum) 	 ('52525', 132462165)
(h, sum) 	 ('54445', 133171891)
(h, sum) 	 ('55J66', 133811023)
(h, sum) 	 ('55454', 133901523)
(h, sum) 	 ('555TT', 134363348)
(h, sum) 	 ('55777', 134881712)
(h, sum) 	 ('599J5', 135059827)
(h, sum) 	 ('5K5JK', 135487891)
(h, sum) 	 ('5AAJ5', 135988714)
(h, sum) 	 ('6J633', 136407734)
(h, sum) 	 ('64464', 136678204)
(h, sum) 	 ('66464', 137162056)
(h, sum) 	 ('66Q6Q', 137818824)
(h, sum) 	 ('6868J', 137944338)
(h, sum) 	 ('69669', 138311838)
(h, sum) 	 ('6KKJ6', 138763742)
(h, sum) 	 ('7J799', 139113080)
(h, sum) 	 ('7JKK7', 139830416)
(h, sum) 	 ('73337', 139854064)
(h, sum) 	 ('75755', 139871084)
(h, sum) 	 ('76776', 139993349)
(h, sum) 	 ('77744', 140305731)
(h, sum) 	 ('77Q7Q', 140470677)
(h, sum) 	 ('77KK7', 140790597)
(h, sum) 	 ('79797', 141123612)
(h, sum) 	 ('8JK8K', 141269082)
(h, sum) 	 ('82288', 141660510)
(h, sum) 	 ('84484', 141676966)
(h, sum) 	 ('86886', 141702432)
(h, sum) 	 ('88222', 142087932)
(h, sum) 	 ('88333', 142701499)
(h, sum) 	 ('88555', 143409883)
(h, sum) 	 ('88585', 144026590)
(h, sum) 	 ('89899', 144731580)
(h, sum) 	 ('8T88T', 144744415)
(h, sum) 	 ('8QQ8Q', 144767095)
(h, sum) 	 ('9J229', 144976784)
(h, sum) 	 ('9J944', 145115498)
(h, sum) 	 ('9JQ9Q', 145589873)
(h, sum) 	 ('92922', 146167473)
(h, sum) 	 ('92929', 146212372)
(h, sum) 	 ('95595', 146822734)
(h, sum) 	 ('96J69', 147178292)
(h, sum) 	 ('96996', 147867420)
(h, sum) 	 ('98J98', 148461060)
(h, sum) 	 ('99595', 148707712)
(h, sum) 	 ('99TTT', 148787480)
(h, sum) 	 ('99KK9', 149197592)
(h, sum) 	 ('9T99T', 149698211)
(h, sum) 	 ('T3T3T', 150106311)
(h, sum) 	 ('T44TJ', 150214251)
(h, sum) 	 ('T4T44', 150380231)
(h, sum) 	 ('T77TT', 150672425)
(h, sum) 	 ('TT55T', 151351997)
(h, sum) 	 ('TT8T8', 151533347)
(h, sum) 	 ('TTT66', 152092067)
(h, sum) 	 ('TTTKK', 152332160)
(h, sum) 	 ('TQQTT', 152434856)
(h, sum) 	 ('QTQQT', 152670893)
(h, sum) 	 ('QQ2Q2', 153409553)
(h, sum) 	 ('QQ999', 153510302)
(h, sum) 	 ('QQQKK', 154035024)
(h, sum) 	 ('KTJKT', 154588605)
(h, sum) 	 ('KTKTK', 155052733)
(h, sum) 	 ('KQKQK', 155306288)
(h, sum) 	 ('KK7K7', 156053774)
(h, sum) 	 ('KKK99', 156666847)
(h, sum) 	 ('KAAKK', 156948951)
(h, sum) 	 ('A333A', 157684299)
(h, sum) 	 ('A33AJ', 158451389)
(h, sum) 	 ('A4A4A', 158989269)
(h, sum) 	 ('A5A55', 159279141)
(h, sum) 	 ('A5AA5', 159282313)
(h, sum) 	 ('A7A7J', 159755537)
(h, sum) 	 ('A7A7A', 160068767)
(h, sum) 	 ('A8A8A', 160203291)
(h, sum) 	 ('ATTAA', 160644032)
(h, sum) 	 ('AAJ22', 160977596)
(h, sum) 	 ('AA22A', 161245261)
(h, sum) 	 ('AA6A6', 161778061)
(h, sum) 	 ('AA999', 161862166)
(h, sum) 	 ('JJ3J6', 162492538)
(h, sum) 	 ('JJ655', 162888417)
(h, sum) 	 ('JJKJQ', 163140069)
(h, sum) 	 ('J22K2', 163833174)
(h, sum) 	 ('J3JK3', 163877504)
(h, sum) 	 ('J3T33', 164318126)
(h, sum) 	 ('J4447', 164667182)
(h, sum) 	 ('J4464', 165197077)
(h, sum) 	 ('J5JA5', 165316957)
(h, sum) 	 ('J5333', 165982788)
(h, sum) 	 ('J5525', 166413960)
(h, sum) 	 ('J5T55', 166607454)
(h, sum) 	 ('J5A55', 167294470)
(h, sum) 	 ('J7737', 167560160)
(h, sum) 	 ('J7TJ7', 167723360)
(h, sum) 	 ('JK9KK', 168207841)
(h, sum) 	 ('JKQKK', 168375531)
(h, sum) 	 ('JKKK5', 169088880)
(h, sum) 	 ('2J242', 169814580)
(h, sum) 	 ('22223', 170138875)
(h, sum) 	 ('2222K', 170640295)
(h, sum) 	 ('2222A', 170707781)
(h, sum) 	 ('2227J', 171048917)
(h, sum) 	 ('222TJ', 171320342)
(h, sum) 	 ('22422', 171663132)
(h, sum) 	 ('282J2', 171821916)
(h, sum) 	 ('2922J', 171912996)
(h, sum) 	 ('2TTTT', 172242938)
(h, sum) 	 ('2QJQQ', 172359968)
(h, sum) 	 ('2KKKK', 173149418)
(h, sum) 	 ('2AJJJ', 173684394)
(h, sum) 	 ('3J3K3', 173690225)
(h, sum) 	 ('32J22', 173935421)
(h, sum) 	 ('33633', 174216816)
(h, sum) 	 ('34333', 174781116)
(h, sum) 	 ('34444', 174890763)
(h, sum) 	 ('35333', 175324847)
(h, sum) 	 ('38J8J', 175751898)
(h, sum) 	 ('388J8', 175836738)
(h, sum) 	 ('4JA44', 176003256)
(h, sum) 	 ('44442', 176765266)
(h, sum) 	 ('44454', 177035026)
(h, sum) 	 ('44644', 177224082)
(h, sum) 	 ('45555', 177609402)
(h, sum) 	 ('49444', 178282818)
(h, sum) 	 ('49999', 178624159)
(h, sum) 	 ('4K444', 179004063)
(h, sum) 	 ('4KKJK', 179788539)
(h, sum) 	 ('5JKJ5', 180384389)
(h, sum) 	 ('55552', 180624371)
(h, sum) 	 ('5555T', 180721499)
(h, sum) 	 ('5555A', 181569381)
(h, sum) 	 ('55955', 182350791)
(h, sum) 	 ('56555', 182969811)
(h, sum) 	 ('57555', 183407227)
(h, sum) 	 ('5TJ5J', 184128821)
(h, sum) 	 ('5TJTT', 184460867)
(h, sum) 	 ('5Q555', 184638680)
(h, sum) 	 ('5KKKK', 185478900)
(h, sum) 	 ('6J664', 186080739)
(h, sum) 	 ('6J669', 186186765)
(h, sum) 	 ('6J66K', 186739085)
(h, sum) 	 ('6JQQQ', 187234157)
(h, sum) 	 ('62666', 187665792)
(h, sum) 	 ('65J55', 187839858)
(h, sum) 	 ('666J3', 187939563)
(h, sum) 	 ('66646', 188549767)
(h, sum) 	 ('66676', 188844358)
(h, sum) 	 ('68J88', 189471628)
(h, sum) 	 ('699J9', 189591826)
(h, sum) 	 ('6T6J6', 190321690)
(h, sum) 	 ('6T666', 190505893)
(h, sum) 	 ('6TTTJ', 191094969)
(h, sum) 	 ('6QJ66', 191538594)
(h, sum) 	 ('7JQQQ', 192223626)
(h, sum) 	 ('72777', 192458662)
(h, sum) 	 ('77JJ9', 192749280)
(h, sum) 	 ('77J72', 193540380)
(h, sum) 	 ('77774', 193913500)
(h, sum) 	 ('77775', 194012172)
(h, sum) 	 ('77779', 194845662)
(h, sum) 	 ('77787', 194941026)
(h, sum) 	 ('777T7', 195759610)
(h, sum) 	 ('7KJ77', 196107415)
(h, sum) 	 ('7AAJA', 196925193)
(h, sum) 	 ('8J828', 197414817)
(h, sum) 	 ('8J86J', 197993793)
(h, sum) 	 ('83333', 198808117)
(h, sum) 	 ('84444', 199087577)
(h, sum) 	 ('85555', 199149947)
(h, sum) 	 ('86666', 199689607)
(h, sum) 	 ('88J4J', 199759261)
(h, sum) 	 ('885J8', 200169607)
(h, sum) 	 ('88858', 200324442)
(h, sum) 	 ('8888K', 200759002)
(h, sum) 	 ('88898', 201357301)
(h, sum) 	 ('888KJ', 201673397)
(h, sum) 	 ('888AJ', 201988946)
(h, sum) 	 ('888A8', 202500146)
(h, sum) 	 ('89999', 203245273)
(h, sum) 	 ('8T888', 204027307)
(h, sum) 	 ('8QJQJ', 204767767)
(h, sum) 	 ('9J44J', 205209823)
(h, sum) 	 ('9J888', 205719338)
(h, sum) 	 ('97J77', 206167808)
(h, sum) 	 ('98J99', 206813592)
(h, sum) 	 ('99J9T', 207514568)
(h, sum) 	 ('99399', 207911801)
(h, sum) 	 ('99799', 208653451)
(h, sum) 	 ('99996', 209374052)
(h, sum) 	 ('999Q9', 209588372)
(h, sum) 	 ('999AJ', 210303251)
(h, sum) 	 ('999A9', 211153271)
(h, sum) 	 ('99K99', 211450646)
(h, sum) 	 ('T7TTT', 212166042)
(h, sum) 	 ('T9999', 212757507)
(h, sum) 	 ('TT2TJ', 212867667)
(h, sum) 	 ('TT8TT', 213707633)
(h, sum) 	 ('TTTT4', 214376473)
(h, sum) 	 ('TTTT9', 214496203)
(h, sum) 	 ('TTKTT', 214687979)
(h, sum) 	 ('TTATT', 215009183)
(h, sum) 	 ('QJ9J9', 215596847)
(h, sum) 	 ('QJ9JQ', 215742997)
(h, sum) 	 ('Q4444', 215980053)
(h, sum) 	 ('Q4QQQ', 216096855)
(h, sum) 	 ('Q6QQQ', 216180375)
(h, sum) 	 ('Q777J', 216681106)
(h, sum) 	 ('Q7777', 217329316)
(h, sum) 	 ('QTJTT', 217830194)
(h, sum) 	 ('QTQQQ', 217905686)
(h, sum) 	 ('QQ2QQ', 218425367)
(h, sum) 	 ('QQ9QQ', 218464595)
(h, sum) 	 ('QQQ3Q', 219212595)
(h, sum) 	 ('QQQTJ', 219614139)
(h, sum) 	 ('QQQQ7', 220159473)
(h, sum) 	 ('QQQQ8', 220857345)
(h, sum) 	 ('QQKQQ', 221630142)
(h, sum) 	 ('QQAQQ', 221833182)
(h, sum) 	 ('QAAAA', 222111718)
(h, sum) 	 ('KJJ5K', 222192730)
(h, sum) 	 ('KJ444', 223019741)
(h, sum) 	 ('K3333', 223784381)
(h, sum) 	 ('K3KKJ', 224162381)
(h, sum) 	 ('K4KKK', 225091353)
(h, sum) 	 ('K6666', 225714479)
(h, sum) 	 ('KTJKK', 225777047)
(h, sum) 	 ('KQKKK', 226171831)
(h, sum) 	 ('KK3KK', 226626881)
(h, sum) 	 ('KK8KK', 227545547)
(h, sum) 	 ('KK9KK', 227598859)
(h, sum) 	 ('KKK6K', 228548047)
(h, sum) 	 ('KKAKK', 228577621)
(h, sum) 	 ('AJ2JA', 229513521)
(h, sum) 	 ('AJA9A', 229521169)
(h, sum) 	 ('A2AAA', 230092498)
(h, sum) 	 ('A44JJ', 230648138)
(h, sum) 	 ('A5AJA', 230681703)
(h, sum) 	 ('A7777', 231577383)
(h, sum) 	 ('A7AAA', 231991574)
(h, sum) 	 ('ATTTJ', 232754440)
(h, sum) 	 ('ATAAA', 233614399)
(h, sum) 	 ('AA4JJ', 233801415)
(h, sum) 	 ('AA4AJ', 234208645)
(h, sum) 	 ('AA4AA', 234744775)
(h, sum) 	 ('AA5AA', 235267922)
(h, sum) 	 ('AA8AA', 235634794)
(h, sum) 	 ('AAA9A', 235815997)
(h, sum) 	 ('AAAA3', 236215637)
(h, sum) 	 ('JJJJJ', 237161391)
(h, sum) 	 ('JJJJ3', 237807771)
(h, sum) 	 ('JJ222', 237993614)
(h, sum) 	 ('JJ8JJ', 238020886)
(h, sum) 	 ('J333J', 238893511)
(h, sum) 	 ('J66J6', 239714327)
(h, sum) 	 ('J7JJ7', 240285872)
(h, sum) 	 ('J8JJ8', 241120106)
(h, sum) 	 ('J88J8', 241418701)
(h, sum) 	 ('J99JJ', 241965541)
(h, sum) 	 ('JTJTT', 242740531)
(h, sum) 	 ('JKKKK', 243479977)
(h, sum) 	 ('JAAAJ', 244219193)
(h, sum) 	 ('JAAAA', 244275281)
(h, sum) 	 ('2222J', 245260281)
(h, sum) 	 ('33J33', 245619185)
(h, sum) 	 ('44J44', 246279488)
(h, sum) 	 ('444JJ', 246583792)
(h, sum) 	 ('555JJ', 247196972)
(h, sum) 	 ('555J5', 247703852)
(h, sum) 	 ('666J6', 247968449)
(h, sum) 	 ('77J7J', 248122209)
(h, sum) 	 ('7777J', 248528346)
(h, sum) 	 ('8888J', 248998508)
(h, sum) 	 ('9JJ99', 249805453)
(h, sum) 	 ('99J99', 250387117)
(h, sum) 	 ('TJTTT', 251330279)
(h, sum) 	 ('QJQJQ', 251791355)
(h, sum) 	 ('QQQQJ', 252402743)
(h, sum) 	 ('KKKJJ', 253362743)
sum:253362743
